tweet_id,text,created_at,user_followers,user_friends,retweet_count,favorite_count
tweet_00044,"kejadian tersebut meresahkan warga, terkait korupsi. Masyarakat diminta tetap waspada.",2024-12-02 07:39:00,22396,1171,4929,5919
tweet_00045,"warga merasa aman, kondisi berita terus dipantau oleh pihak terkait.",2024-03-06 04:08:00,49736,3266,1148,6293
tweet_00046,"situasi tetap aman, kondisi berita terus dipantau oleh pihak terkait.",2024-02-18 19:53:00,29759,2496,2660,3124
tweet_00047,"kasus sedang diselidiki, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-05-11 12:47:00,32103,4147,4364,4465
tweet_00048,"situasi tetap aman, kondisi keamanan terus dipantau oleh pihak terkait.",2024-08-27 12:14:00,14108,3680,1369,8932
tweet_00049,"terjadi kasus, terkait curanmor. Masyarakat diminta tetap waspada.",2024-03-10 14:35:00,9214,1669,1081,512
tweet_00050,"terjadi kasus, terkait begal. Masyarakat diminta tetap waspada.",2024-05-02 15:35:00,49022,4997,3343,4070
tweet_00051,"kondisi kota tertib, kondisi patroli terus dipantau oleh pihak terkait.",2024-06-24 12:44:00,8140,3152,4249,1679
tweet_00052,"terjadi kasus, terkait begal. Masyarakat diminta tetap waspada.",2024-09-03 22:52:00,9445,3123,2141,6617
tweet_00053,"kasus sedang diselidiki, terkait curanmor. Masyarakat diminta tetap waspada.",2024-11-12 15:28:00,37230,2075,2849,7390
tweet_00054,"pelaku berhasil ditangkap, terkait penipuan. Masyarakat diminta tetap waspada.",2024-07-07 20:47:00,41985,1353,4611,2839
tweet_00055,"situasi tetap aman, kondisi tertib terus dipantau oleh pihak terkait.",2024-02-04 02:35:00,25481,3551,851,1687
tweet_00056,"keamanan terus ditingkatkan, kondisi keamanan terus dipantau oleh pihak terkait.",2024-09-02 17:04:00,4010,2743,3498,5732
tweet_00057,"situasi tetap aman, kondisi aman terus dipantau oleh pihak terkait.",2024-12-16 16:39:00,3923,1071,4380,4107
tweet_00058,"polisi mengamankan pelaku, terkait perampokan. Masyarakat diminta tetap waspada.",2024-09-24 21:37:00,34860,2779,2896,8967
tweet_00059,"pelaku berhasil ditangkap, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-05-24 08:29:00,427,119,616,3974
tweet_00060,"pelaku berhasil ditangkap, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-04-19 03:24:00,11348,417,728,7164
tweet_00061,"polisi mengamankan pelaku, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-03-20 09:52:00,17516,4084,1571,5073
tweet_00062,"kejadian tersebut meresahkan warga, terkait korupsi. Masyarakat diminta tetap waspada.",2024-10-22 14:55:00,44821,3445,3766,5644
tweet_00063,"situasi tetap aman, kondisi keamanan terus dipantau oleh pihak terkait.",2024-05-09 06:21:00,46362,3957,595,728
tweet_00064,"terjadi kasus, terkait penipuan. Masyarakat diminta tetap waspada.",2024-02-25 04:19:00,16789,4176,4360,2502
tweet_00065,"warga merasa aman, kondisi polisi terus dipantau oleh pihak terkait.",2024-11-11 08:57:00,5496,148,4980,7266
tweet_00066,"warga merasa aman, kondisi polisi terus dipantau oleh pihak terkait.",2024-08-30 19:32:00,40429,3641,3222,1167
tweet_00067,"polisi melakukan patroli, kondisi patroli terus dipantau oleh pihak terkait.",2024-08-31 11:25:00,37507,1161,732,4330
tweet_00068,"polisi melakukan patroli, kondisi kota terus dipantau oleh pihak terkait.",2024-05-28 13:45:00,35317,3329,3301,1542
tweet_00069,"pelaku berhasil ditangkap, terkait korupsi. Masyarakat diminta tetap waspada.",2024-09-03 16:49:00,23332,2686,1217,1540
tweet_00070,"warga merasa aman, kondisi berita terus dipantau oleh pihak terkait.",2024-01-20 15:35:00,13817,1393,1856,1365
tweet_00071,"situasi tetap aman, kondisi masyarakat terus dipantau oleh pihak terkait.",2024-09-30 23:40:00,25741,1832,3141,7419
tweet_00072,"warga menjadi korban, terkait begal. Masyarakat diminta tetap waspada.",2024-11-07 08:25:00,28188,4139,3522,4268
tweet_00073,"kasus sedang diselidiki, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-11-09 04:55:00,13126,899,1384,3072
tweet_00074,"keamanan terus ditingkatkan, kondisi kota terus dipantau oleh pihak terkait.",2024-07-20 12:00:00,23970,828,928,5029
tweet_00075,"kasus sedang diselidiki, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-12-16 08:12:00,22710,1857,4910,4175
tweet_00076,"keamanan terus ditingkatkan, kondisi patroli terus dipantau oleh pihak terkait.",2024-10-21 03:30:00,13853,3517,1256,3376
tweet_00077,"masyarakat tetap waspada, kondisi aman terus dipantau oleh pihak terkait.",2024-09-12 21:41:00,3340,2708,470,8120
tweet_00078,"kondisi kota tertib, kondisi warga terus dipantau oleh pihak terkait.",2024-09-26 11:23:00,23969,672,4468,9337
tweet_00079,"pelaku berhasil ditangkap, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-07-24 04:11:00,27365,4969,4136,4835
tweet_00080,"situasi tetap aman, kondisi berita terus dipantau oleh pihak terkait.",2024-08-08 10:28:00,35557,929,2956,1581
tweet_00081,"pelaku berhasil ditangkap, terkait begal. Masyarakat diminta tetap waspada.",2024-11-17 21:56:00,10146,14,2871,8989
tweet_00082,"situasi tetap aman, kondisi patroli terus dipantau oleh pihak terkait.",2024-02-12 22:13:00,27722,2198,223,7449
tweet_00083,"warga menjadi korban, terkait begal. Masyarakat diminta tetap waspada.",2024-08-20 08:58:00,21178,4005,1633,7266
tweet_00084,"kejadian tersebut meresahkan warga, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-07-09 21:47:00,18394,2761,1668,5989
tweet_00085,"masyarakat tetap waspada, kondisi masyarakat terus dipantau oleh pihak terkait.",2024-05-19 01:24:00,10926,4814,4178,7245
tweet_00086,"warga menjadi korban, terkait pencurian. Masyarakat diminta tetap waspada.",2024-08-07 11:56:00,17110,4549,4976,3419
tweet_00087,"pelaku berhasil ditangkap, terkait curanmor. Masyarakat diminta tetap waspada.",2024-12-18 21:13:00,43135,775,3962,4363
tweet_00088,"kondisi kota tertib, kondisi patroli terus dipantau oleh pihak terkait.",2024-07-27 04:10:00,42818,4724,2814,3374
tweet_00089,"polisi mengamankan pelaku, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-12-03 02:50:00,15791,4864,1329,6241
tweet_00090,"polisi melakukan patroli, kondisi keamanan terus dipantau oleh pihak terkait.",2024-11-26 21:07:00,28930,4266,1358,5115
tweet_00091,"warga menjadi korban, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-06-21 04:20:00,37670,142,3472,5449
tweet_00092,"masyarakat tetap waspada, kondisi polisi terus dipantau oleh pihak terkait.",2024-06-04 09:37:00,7951,4305,3818,1906
tweet_00093,"warga merasa aman, kondisi masyarakat terus dipantau oleh pihak terkait.",2024-01-17 17:11:00,45425,2952,1719,8472
tweet_00094,"warga merasa aman, kondisi keamanan terus dipantau oleh pihak terkait.",2024-08-18 11:08:00,49833,1974,4156,6777
tweet_00095,"polisi mengamankan pelaku, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-11-29 20:01:00,45669,4782,3900,6677
tweet_00096,"polisi mengamankan pelaku, terkait pencurian. Masyarakat diminta tetap waspada.",2024-09-11 17:44:00,16917,2398,3117,2593
tweet_00097,"polisi mengamankan pelaku, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-05-27 20:10:00,23634,2301,2261,6493
tweet_00098,"pelaku berhasil ditangkap, terkait pencurian. Masyarakat diminta tetap waspada.",2024-05-25 22:56:00,14188,1281,2766,302
tweet_00099,"kejadian tersebut meresahkan warga, terkait begal. Masyarakat diminta tetap waspada.",2024-09-27 13:13:00,28709,2130,3287,364
tweet_00100,"warga menjadi korban, terkait korupsi. Masyarakat diminta tetap waspada.",2024-11-07 17:14:00,38648,1536,3345,7673
tweet_00101,"terjadi kasus, terkait penipuan. Masyarakat diminta tetap waspada.",2024-10-26 19:34:00,45550,2080,713,1062
tweet_00102,"kejadian tersebut meresahkan warga, terkait curanmor. Masyarakat diminta tetap waspada.",2024-11-08 12:09:00,49287,4637,3596,6168
tweet_00103,"situasi tetap aman, kondisi keamanan terus dipantau oleh pihak terkait.",2024-09-25 04:33:00,26744,4211,1493,7943
tweet_00104,"polisi melakukan patroli, kondisi keamanan terus dipantau oleh pihak terkait.",2024-09-09 00:40:00,19133,1766,3514,876
tweet_00105,"terjadi kasus, terkait penganiayaan. Masyarakat diminta tetap waspada.",2024-03-21 20:21:00,1615,2568,3421,6986
tweet_00106,"terjadi kasus, terkait korupsi. Masyarakat diminta tetap waspada.",2024-12-29 06:58:00,24828,2595,1063,4324
tweet_00107,"polisi melakukan patroli, kondisi berita terus dipantau oleh pihak terkait.",2024-07-29 19:31:00,14053,4175,3,5966
tweet_00108,"kondisi kota tertib, kondisi aman terus dipantau oleh pihak terkait.",2024-06-30 00:29:00,38338,4294,846,6316
tweet_00109,"polisi melakukan patroli, kondisi berita terus dipantau oleh pihak terkait.",2024-02-14 16:03:00,26396,728,224,4208
tweet_00110,"polisi melakukan patroli, kondisi aman terus dipantau oleh pihak terkait.",2024-06-17 01:03:00,42543,1833,1917,4234
tweet_00111,"situasi tetap aman, kondisi keamanan terus dipantau oleh pihak terkait.",2024-09-25 00:05:00,45755,2044,9,260
tweet_00112,"polisi mengamankan pelaku, terkait perampokan. Masyarakat diminta tetap waspada.",2024-01-04 16:07:00,34397,325,1342,2832
tweet_00113,"kejadian tersebut meresahkan warga, terkait korupsi. Masyarakat diminta tetap waspada.",2024-10-25 05:54:00,28263,1123,1604,235
tweet_00114,"warga menjadi korban, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-11-18 05:28:00,19029,1575,2560,5415
tweet_00115,"warga merasa aman, kondisi informasi terus dipantau oleh pihak terkait.",2024-10-29 02:48:00,30533,1319,4820,2898
tweet_00116,"kondisi kota tertib, kondisi warga terus dipantau oleh pihak terkait.",2024-04-12 19:36:00,14070,1070,2136,9510
tweet_00117,"masyarakat tetap waspada, kondisi keamanan terus dipantau oleh pihak terkait.",2024-11-19 03:17:00,5994,4675,2190,9184
tweet_00118,"pelaku berhasil ditangkap, terkait pencurian. Masyarakat diminta tetap waspada.",2024-10-12 19:57:00,36465,2156,4018,1970
tweet_00119,"warga menjadi korban, terkait penipuan. Masyarakat diminta tetap waspada.",2024-12-06 07:05:00,21961,2040,477,9446
tweet_00120,"situasi tetap aman, kondisi berita terus dipantau oleh pihak terkait.",2024-01-23 07:54:00,17344,2341,2243,2645
tweet_00121,"warga merasa aman, kondisi patroli terus dipantau oleh pihak terkait.",2024-05-01 11:44:00,46207,2858,4910,6371
tweet_00122,"polisi mengamankan pelaku, terkait pembunuhan. Masyarakat diminta tetap waspada.",2024-07-15 00:07:00,14392,2376,2891,3756
tweet_00123,"warga merasa aman, kondisi keamanan terus dipantau oleh pihak terkait.",2024-08-22 14:27:00,33571,1839,2116,5779
tweet_00124,"kejadian tersebut meresahkan warga, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-06-16 04:53:00,13009,819,345,8554
tweet_00125,"kejadian tersebut meresahkan warga, terkait korupsi. Masyarakat diminta tetap waspada.",2024-05-10 13:34:00,26225,832,2730,3531
tweet_00126,"polisi mengamankan pelaku, terkait pembunuhan. Masyarakat diminta tetap waspada.",2024-08-06 20:52:00,38737,131,3177,8795
tweet_00127,"kejadian tersebut meresahkan warga, terkait penganiayaan. Masyarakat diminta tetap waspada.",2024-12-12 07:56:00,44337,3373,3797,1792
tweet_00128,"pelaku berhasil ditangkap, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-04-02 03:57:00,47533,1210,3030,2872
tweet_00129,"warga menjadi korban, terkait begal. Masyarakat diminta tetap waspada.",2024-08-17 10:28:00,11704,1337,201,3507
tweet_00130,"situasi tetap aman, kondisi warga terus dipantau oleh pihak terkait.",2024-01-29 06:58:00,25160,541,1625,7973
tweet_00131,"warga menjadi korban, terkait perampokan. Masyarakat diminta tetap waspada.",2024-07-26 07:12:00,6793,959,4971,1205
tweet_00132,"kasus sedang diselidiki, terkait curanmor. Masyarakat diminta tetap waspada.",2024-06-01 01:27:00,46250,4385,4158,4757
tweet_00133,"polisi mengamankan pelaku, terkait perampokan. Masyarakat diminta tetap waspada.",2024-04-20 06:08:00,4954,3437,688,4243
tweet_00134,"terjadi kasus, terkait korupsi. Masyarakat diminta tetap waspada.",2024-04-15 11:18:00,9994,1764,3212,9181
tweet_00135,"warga merasa aman, kondisi informasi terus dipantau oleh pihak terkait.",2024-03-05 22:21:00,2089,2722,2332,4524
tweet_00136,"warga menjadi korban, terkait korupsi. Masyarakat diminta tetap waspada.",2024-04-13 20:01:00,33546,3062,4289,6645
tweet_00137,"kejadian tersebut meresahkan warga, terkait perampokan. Masyarakat diminta tetap waspada.",2024-07-27 19:49:00,25532,4931,3335,8038
tweet_00138,"polisi melakukan patroli, kondisi warga terus dipantau oleh pihak terkait.",2024-05-07 13:15:00,47200,59,1823,3462
tweet_00139,"situasi tetap aman, kondisi aman terus dipantau oleh pihak terkait.",2024-05-24 04:06:00,47073,2495,327,7221
tweet_00140,"warga menjadi korban, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-01-28 18:26:00,24170,3680,3054,7970
tweet_00141,"kejadian tersebut meresahkan warga, terkait korupsi. Masyarakat diminta tetap waspada.",2024-01-09 10:55:00,41134,4282,822,943
tweet_00142,"terjadi kasus, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-04-26 04:12:00,41884,1313,4177,8705
tweet_00143,"keamanan terus ditingkatkan, kondisi patroli terus dipantau oleh pihak terkait.",2024-06-09 06:25:00,29388,4571,3190,4491
tweet_00144,"kondisi kota tertib, kondisi patroli terus dipantau oleh pihak terkait.",2024-05-14 21:49:00,45970,3582,2901,1387
tweet_00145,"kejadian tersebut meresahkan warga, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-02-16 23:22:00,24567,4228,4831,2768
tweet_00146,"kejadian tersebut meresahkan warga, terkait pencurian. Masyarakat diminta tetap waspada.",2024-12-10 03:13:00,41206,1309,3430,7368
tweet_00147,"pelaku berhasil ditangkap, terkait pembunuhan. Masyarakat diminta tetap waspada.",2024-06-14 06:49:00,11382,2662,3798,8996
tweet_00148,"polisi mengamankan pelaku, terkait perampokan. Masyarakat diminta tetap waspada.",2024-12-03 02:17:00,38253,45,2081,7184
tweet_00149,"pelaku berhasil ditangkap, terkait begal. Masyarakat diminta tetap waspada.",2024-01-29 08:09:00,16735,4057,2074,7992
tweet_00150,"pelaku berhasil ditangkap, terkait korupsi. Masyarakat diminta tetap waspada.",2024-05-03 13:00:00,47934,459,2953,9900
tweet_00151,"keamanan terus ditingkatkan, kondisi patroli terus dipantau oleh pihak terkait.",2024-12-20 13:45:00,36407,4230,3067,5941
tweet_00152,"masyarakat tetap waspada, kondisi keamanan terus dipantau oleh pihak terkait.",2024-12-22 11:19:00,24073,1141,186,9442
tweet_00153,"kondisi kota tertib, kondisi masyarakat terus dipantau oleh pihak terkait.",2024-12-01 03:35:00,21802,1790,750,1762
tweet_00154,"kondisi kota tertib, kondisi aman terus dipantau oleh pihak terkait.",2024-02-15 20:17:00,47314,158,1524,2120
tweet_00155,"terjadi kasus, terkait pencurian. Masyarakat diminta tetap waspada.",2024-09-30 02:36:00,9140,1644,4120,7970
tweet_00156,"keamanan terus ditingkatkan, kondisi patroli terus dipantau oleh pihak terkait.",2024-12-13 03:23:00,9660,3554,4197,7009
tweet_00157,"kasus sedang diselidiki, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-06-19 14:50:00,4100,3009,329,3640
tweet_00158,"warga menjadi korban, terkait korupsi. Masyarakat diminta tetap waspada.",2024-05-20 15:03:00,12264,2713,3152,1750
tweet_00159,"situasi tetap aman, kondisi berita terus dipantau oleh pihak terkait.",2024-05-09 17:53:00,11928,3647,3993,8680
tweet_00160,"situasi tetap aman, kondisi warga terus dipantau oleh pihak terkait.",2024-08-09 03:00:00,19551,4350,390,4430
tweet_00161,"warga merasa aman, kondisi kota terus dipantau oleh pihak terkait.",2024-08-25 23:43:00,8017,1526,826,1500
tweet_00162,"warga menjadi korban, terkait pembunuhan. Masyarakat diminta tetap waspada.",2024-01-26 21:05:00,17860,3566,614,5392
tweet_00163,"warga merasa aman, kondisi informasi terus dipantau oleh pihak terkait.",2024-11-08 17:48:00,13419,135,2983,4278
tweet_00164,"terjadi kasus, terkait curanmor. Masyarakat diminta tetap waspada.",2024-07-31 23:31:00,15327,925,2769,8684
tweet_00165,"warga merasa aman, kondisi tertib terus dipantau oleh pihak terkait.",2024-11-14 22:57:00,37124,4859,1804,3810
tweet_00166,"polisi mengamankan pelaku, terkait pembunuhan. Masyarakat diminta tetap waspada.",2024-10-20 15:25:00,8446,4848,4792,271
tweet_00167,"polisi melakukan patroli, kondisi kota terus dipantau oleh pihak terkait.",2024-05-05 19:04:00,24584,3435,4435,3760
tweet_00168,"kejadian tersebut meresahkan warga, terkait korupsi. Masyarakat diminta tetap waspada.",2024-04-25 04:33:00,32923,4393,431,8896
tweet_00169,"situasi tetap aman, kondisi kota terus dipantau oleh pihak terkait.",2024-03-26 05:44:00,23905,968,2234,1828
tweet_00170,"kondisi kota tertib, kondisi berita terus dipantau oleh pihak terkait.",2024-12-13 00:42:00,29767,1873,4867,5690
tweet_00171,"polisi mengamankan pelaku, terkait begal. Masyarakat diminta tetap waspada.",2024-08-15 00:18:00,36342,1394,3401,7274
tweet_00172,"terjadi kasus, terkait kejahatan. Masyarakat diminta tetap waspada.",2024-05-09 14:26:00,14209,3850,1796,8245
tweet_00173,"situasi tetap aman, kondisi aman terus dipantau oleh pihak terkait.",2024-02-23 09:38:00,18307,1601,1914,7657
tweet_00174,"kondisi kota tertib, kondisi tertib terus dipantau oleh pihak terkait.",2024-09-17 09:59:00,24588,4260,4069,4876
tweet_00175,"terjadi kasus, terkait penganiayaan. Masyarakat diminta tetap waspada.",2024-01-25 02:21:00,17774,3686,1290,1640
tweet_00176,"warga menjadi korban, terkait penganiayaan. Masyarakat diminta tetap waspada.",2024-09-10 19:04:00,23275,1360,4265,9752
tweet_00177,"keamanan terus ditingkatkan, kondisi tertib terus dipantau oleh pihak terkait.",2024-04-03 18:44:00,5305,918,4549,8228
tweet_00178,"polisi mengamankan pelaku, terkait pencopetan. Masyarakat diminta tetap waspada.",2024-03-28 11:51:00,9526,322,2396,2162
tweet_00179,"polisi melakukan patroli, kondisi informasi terus dipantau oleh pihak terkait.",2024-08-19 20:23:00,26582,1317,1285,4311
tweet_00180,"keamanan terus ditingkatkan, kondisi informasi terus dipantau oleh pihak terkait.",2024-12-06 07:22:00,18098,367,2604,9908
tweet_00181,"keamanan terus ditingkatkan, kondisi berita terus dipantau oleh pihak terkait.",2024-05-15 04:52:00,48884,561,825,2808
tweet_00182,"pelaku berhasil ditangkap, terkait curanmor. Masyarakat diminta tetap waspada.",2024-11-22 16:52:00,36519,1579,3998,2403
tweet_00183,"polisi melakukan patroli, kondisi masyarakat terus dipantau oleh pihak terkait.",2024-12-05 13:32:00,9892,1141,2064,7009
tweet_00184,"masyarakat tetap waspada, kondisi informasi terus dipantau oleh pihak terkait.",2024-06-28 16:02:00,1017,2519,3526,5352
tweet_00185,"masyarakat tetap waspada, kondisi patroli terus dipantau oleh pihak terkait.",2024-10-31 16:35:00,7501,4831,1040,9109
tweet_00186,"situasi tetap aman, kondisi berita terus dipantau oleh pihak terkait.",2024-06-25 08:53:00,20963,3196,2353,7437
tweet_00187,"warga merasa aman, kondisi polisi terus dipantau oleh pihak terkait.",2024-07-19 20:27:00,21520,33,906,7813
tweet_00188,"warga menjadi korban, terkait penipuan. Masyarakat diminta tetap waspada.",2024-06-06 20:06:00,44579,3558,1453,3356
tweet_00189,"masyarakat tetap waspada, kondisi keamanan terus dipantau oleh pihak terkait.",2024-05-27 22:30:00,3352,891,2844,1098
tweet_00190,"kejadian tersebut meresahkan warga, terkait perampokan. Masyarakat diminta tetap waspada.",2024-08-06 08:51:00,3103,3535,3778,2896
tweet_00191,"keamanan terus ditingkatkan, kondisi informasi terus dipantau oleh pihak terkait.",2024-07-24 11:40:00,39224,4969,4026,4179
tweet_00192,"polisi mengamankan pelaku, terkait penganiayaan. Masyarakat diminta tetap waspada.",2024-09-28 04:50:00,5636,4670,3963,933
tweet_00193,"terjadi kasus, terkait penipuan. Masyarakat diminta tetap waspada.",2024-06-14 12:40:00,17185,1814,2255,3610
tweet_00194,"situasi tetap aman, kondisi kota terus dipantau oleh pihak terkait.",2024-10-25 09:00:00,3390,524,590,1050
tweet_00195,"warga merasa aman, kondisi polisi terus dipantau oleh pihak terkait.",2024-06-14 11:00:00,5665,3904,4473,2946
tweet_00196,"kejadian tersebut meresahkan warga, terkait penganiayaan. Masyarakat diminta tetap waspada.",2024-12-25 23:09:00,11546,3970,1875,1763
tweet_00197,"keamanan terus ditingkatkan, kondisi kota terus dipantau oleh pihak terkait.",2024-06-25 15:06:00,29769,3793,2768,4167
tweet_00198,"kejadian tersebut meresahkan warga, terkait perampokan. Masyarakat diminta tetap waspada.",2024-09-26 20:30:00,41135,1572,728,2043
tweet_00199,"warga merasa aman, kondisi informasi terus dipantau oleh pihak terkait.",2024-04-23 22:13:00,3772,1581,2448,6731
tweet_00200,"kondisi kota tertib, kondisi berita terus dipantau oleh pihak terkait.",2024-08-03 22:11:00,35498,718,935,6047
tweet_00201,"polisi melakukan patroli, kondisi aman terus dipantau oleh pihak terkait.",2024-07-05 11:12:00,27434,4049,1949,6732
tweet_00202,"pelaku berhasil ditangkap, terkait begal. Masyarakat diminta tetap waspada.",2024-02-05 07:41:00,10371,4243,3041,105
tweet_00203,"warga menjadi korban, terkait pencurian. Masyarakat diminta tetap waspada.",2024-10-01 09:41:00,18450,3149,2270,9631
